country,year,author_count
CF,2021,1
CG,2016,1
CG,2018,1
CG,2019,1
CG,2021,7
CG,2022,4
CH,1990,1
CH,2013,1
CH,2014,20
CH,2015,38
CH,2016,168
CH,2017,454
CH,2018,840
CH,2019,1102
CH,2020,1480
CH,2021,2118
CH,2022,2445
CH,2023,754
CI,2019,1
CI,2020,2
CI,2021,1
CI,2022,5
CI,2023,1
CL,2012,1
CL,2015,9
CL,2016,25
CL,2017,58
CL,2018,108
CL,2019,185
CL,2020,266
CL,2021,334
CL,2022,372
CL,2023,146
CM,2016,2
CM,2017,7
CM,2018,12
CM,2019,12
CM,2020,26
CM,2021,29
CM,2022,45
CM,2023,2
CN,2006,1
CN,2011,2
CN,2012,4
CN,2014,134
CN,2015,111
CN,2016,620
CN,2017,2611
CN,2018,5066
CN,2019,7963
CN,2020,11695
CN,2021,15340
CN,2022,29818
CN,2023,7980
CO,2014,2
CO,2016,16
CO,2017,29
CO,2018,66
CO,2019,114
CO,2020,221
CO,2021,258
CO,2022,376
CO,2023,95
CR,2016,2
CR,2017,2
CR,2018,5
CR,2019,12
CR,2020,14
CR,2021,16
CR,2022,22
CR,2023,4
CU,2017,4
CU,2018,5
CU,2019,6
CU,2020,8
CU,2021,21
CU,2022,32
CU,2023,11
CV,2018,1
CV,2022,1
CW,2021,2
CW,2022,2
CY,2016,2
CY,2017,9
CY,2018,27
CY,2019,37
CY,2020,53
CY,2021,60
CY,2022,99
CY,2023,25
CZ,2012,1
CZ,2014,25
CZ,2015,11
CZ,2016,43
CZ,2017,94
CZ,2018,194
CZ,2019,292
CZ,2020,515
CZ,2021,651
CZ,2022,657
CZ,2023,138
DE,2002,1
DE,2005,1
DE,2009,2
DE,2011,1
DE,2013,4
DE,2014,65
DE,2015,120
DE,2016,530
DE,2017,1527
DE,2018,2654
DE,2019,3727
DE,2020,5199
DE,2021,7467
DE,2022,8739
DE,2023,2610
DK,2011,1
DK,2012,1
DK,2014,11
DK,2015,32
DK,2016,152
DK,2017,390
DK,2018,641
DK,2019,981
DK,2020,1277
DK,2021,1610
DK,2022,1949
DK,2023,659
DO,2018,5
DO,2019,1
DO,2020,1
DO,2021,4
DO,2022,3
DO,2023,1
DZ,2016,1
DZ,2017,3
DZ,2018,8
DZ,2019,17
DZ,2020,16
DZ,2021,18
DZ,2022,24
DZ,2023,7
EC,2016,2
EC,2017,8
EC,2018,12
EC,2019,24
EC,2020,34
EC,2021,36
EC,2022,60
EC,2023,17
EE,2014,2
EE,2016,8
EE,2017,18
EE,2018,12
EE,2019,27
EE,2020,25
EE,2021,43
EE,2022,48
EE,2023,17
EG,2012,2
EG,2014,2
EG,2015,6
EG,2016,24
EG,2017,93
EG,2018,230
EG,2019,407
EG,2020,681
EG,2021,917
EG,2022,1278
EG,2023,337
ER,2019,1
ER,2020,1
ER,2021,3
ES,2005,2
ES,2007,1
ES,2012,2
ES,2014,45
ES,2015,45
ES,2016,265
ES,2017,777
ES,2018,1577
ES,2019,2345
ES,2020,3759
ES,2021,5635
ES,2022,5967
ES,2023,1895
ET,2014,1
ET,2016,3
ET,2017,17
ET,2018,49
ET,2019,82
ET,2020,178
ET,2021,246
ET,2022,317
ET,2023,45
FI,2014,14
FI,2015,12
FI,2016,52
FI,2017,187
FI,2018,347
FI,2019,504
FI,2020,638
FI,2021,827
FI,2022,998
FI,2023,275
FJ,2019,2
FJ,2020,4
FJ,2021,3
FJ,2022,2
FK,2019,1
FO,2019,3
FO,2020,1
FO,2022,3
FO,2023,1
FR,2008,1
FR,2014,31
FR,2015,63
FR,2016,282
FR,2017,874
FR,2018,1590
FR,2019,2318
FR,2020,3118
FR,2021,4332
FR,2022,4798
FR,2023,1406
GA,2018,3
GA,2022,2
GB,2004,1
GB,2005,1
GB,2006,7
GB,2007,1
GB,2008,1
GB,2009,1
GB,2011,2
GB,2013,3
GB,2014,72
GB,2015,222
GB,2016,774
GB,2017,1977
GB,2018,3546
GB,2019,5004
GB,2020,6500
GB,2021,8794
GB,2022,9854
GB,2023,2788
GD,2016,1
GD,2017,1
GD,2018,2
GD,2019,6
GD,2020,10
GD,2021,9
GD,2022,2
GD,2023,4
GE,2017,2
GE,2018,12
GE,2019,12
GE,2020,22
GE,2021,28
GE,2022,38
GE,2023,10
GF,2018,2
GF,2019,1
GF,2020,4
GF,2021,2
GF,2022,1
GF,2023,2
GH,2016,4
GH,2017,18
GH,2018,24
GH,2019,51
